Observacion	ID	Sexo	SexoNum	Edad	Fuma	Estatura	Colegio	Estrato	Financiacion	Acumulado	P1	P2	P3	Final	Definitiva	Gastos	Ingreso	Gas	Clases	Ley	PandemiaCat	PandemiaNum	Likert1	Likert2	Likert3	Likert4	Likert5	AGPEQ1	AGPEQ2	AGPEQ3	SATS1	SATS2	SATS3	SATS4	IDARE1.1	IDARE1.2	IDARE1.3	IDARE1.4	IDARE1.5	IDARE2.6	IDARE2.7	IDARE2.8	IDARE2.9	IDARE2.10	Puntaje
172	SB11201910038340	Femenino	0	20.65	No	Baja	Privado	3	Credito	3.94	4.5	4.3	3.3	3.2	3.83	31.5	1.05	18.09	Presencial	De acuerdo	De acuerdo	3	3	4	3	3	1	De acuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Bastante	Poco	Poco	Poco	Poco	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Algunas veces	50
173	SB11201910047579	Masculino	1	17.98	No	Media	Publico	2	Credito	3.75	3.3	3.4	1.2	3.3	2.8	42.9	1.43	24.25	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	4	2	3	2	2	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente de acuerdo	De acuerdo	De acuerdo	Indeciso	De acuerdo	Mucho	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Casi siempre	Frecuentemente	Algunas veces	Frecuentemente	Casi nunca	36
174	SB11201910038152	Femenino	0	20.93	No	Baja	Privado	1	Credito	3.63	4.5	2	4.2	3	3.43	42	1.4	23.32	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	5	2	4	4	1	De acuerdo	De acuerdo	De acuerdo	De acuerdo	Indeciso	Indeciso	De acuerdo	Poco	No en lo absoluto	Bastante	Poco	No en lo absoluto	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Casi nunca	35
175	SB11201910038563	Femenino	0	16.13	No	Media	Privado	3	Credito	3.66	2.9	3.6	2.4	4.7	3.4	37.8	1.26	24.04	Presencial	De acuerdo	De acuerdo	3	1	2	2	4	1	De acuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Poco	Bastante	Poco	Poco	Poco	Casi siempre	Algunas veces	Casi nunca	Algunas veces	Algunas veces	35
176	SB11201910047870	Masculino	1	17.41	No	Alta	Publico	3	Credito	3.51	3.4	2.6	5	3.2	3.55	84.6	2.82	21.59	Presencial	En desacuerdo	En desacuerdo	1	2	5	1	5	2	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	De acuerdo	Totalmente de acuerdo	Indeciso	Poco	Bastante	Poco	No en lo absoluto	Bastante	Casi siempre	Casi nunca	Casi siempre	Casi nunca	Casi siempre	34
177	SB11201910038554	Femenino	0	20.46	No	Media	Publico	1	Credito	3.74	2.1	3.8	2.8	3.3	3	63.6	2.12	26.58	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	4	4	5	4	3	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	Indeciso	Indeciso	Poco	Poco	Bastante	Poco	Poco	Frecuentemente	Frecuentemente	Casi siempre	Frecuentemente	Casi siempre	30
178	SB11201910047628	Femenino	0	17.21	No	Baja	Publico	2	Credito	4.52	3.5	4.7	3	3	3.55	61.4	2.38	27.65	Presencial	En desacuerdo	En desacuerdo	1	2	5	4	3	1	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	En desacuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Bastante	Poco	Poco	No en lo absoluto	Bastante	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Algunas veces	28
179	SB11201910038228	Femenino	0	20.74	No	Baja	Publico	2	Credito	4.39	4.4	4	3.8	3.8	4	58.9	2.13	25.13	Virtual	De acuerdo	De acuerdo	3	2	1	1	4	2	De acuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	De acuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Frecuentemente	Casi nunca	Casi nunca	Algunas veces	28
180	SB11201910038250	Femenino	0	18.98	Si	Alta	Privado	2	Beca	3.27	3.8	1.8	3.2	3.2	3	64.8	2.16	20.86	Virtual	De acuerdo	De acuerdo	3	5	5	3	3	4	De acuerdo	De acuerdo	Totalmente en desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	En desacuerdo	Bastante	Poco	Poco	Poco	Poco	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	28
181	SB11201910038276	Femenino	0	19.33	Si	Media	Privado	3	Credito	3.12	2.2	3	1.5	3.4	2.53	87.9	2.93	19.13	Presencial	En desacuerdo	En desacuerdo	1	4	4	1	1	4	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	Indeciso	De acuerdo	Totalmente de acuerdo	Bastante	Bastante	Poco	Poco	No en lo absoluto	Algunas veces	Algunas veces	Casi nunca	Casi nunca	Algunas veces	28
182	SB11201910059682	Femenino	0	19.96	Si	Baja	Privado	1	Credito	3.73	2.7	3.7	2.6	3.8	3.2	56.4	1.88	24.51	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	2	2	5	4	4	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Frecuentemente	Frecuentemente	Casi siempre	26
183	SB11201910038436	Femenino	0	14.01	Si	Media	Privado	2	Credito	3.11	2.2	2.6	3.8	3.5	3.03	85.2	2.84	21.01	Presencial	De acuerdo	De acuerdo	3	5	4	4	1	1	En desacuerdo	En desacuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	De acuerdo	De acuerdo	Poco	Poco	Poco	Poco	Mucho	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	Algunas veces	26
184	SB11201910048581	Femenino	0	16.6	Si	Media	Privado	3	Credito	4.32	4.6	4.4	3.2	4	4.05	32.7	1.09	22.86	Presencial	En desacuerdo	En desacuerdo	1	3	3	5	3	3	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	Casi nunca	25
185	SB11201910055285	Masculino	1	21.39	Si	Baja	Privado	3	Credito	3.25	3.6	2	3.3	4.2	3.28	30.7	1.09	22.21	Presencial	De acuerdo	De acuerdo	3	3	1	1	3	3	Totalmente en desacuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Indeciso	En desacuerdo	En desacuerdo	Bastante	Bastante	Bastante	Bastante	Bastante	Algunas veces	Algunas veces	Casi nunca	Casi nunca	Algunas veces	24
186	SB11201910059764	Femenino	0	20.66	Si	Media	Privado	3	Credito	3.32	3.2	3.3	1.4	3.3	2.8	56.4	1.88	17.97	Presencial	En desacuerdo	De acuerdo	3	3	5	3	1	3	Totalmente en desacuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Algunas veces	Casi siempre	Algunas veces	Casi nunca	Algunas veces	24
187	SB11201910038470	Femenino	0	17.35	Si	Baja	Privado	3	Otro	3.63	4.6	2.4	3.8	4.4	3.8	39.8	1.06	21.54	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	1	1	4	5	2	Totalmente de acuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	En desacuerdo	En desacuerdo	Indeciso	No en lo absoluto	No en lo absoluto	Bastante	Bastante	Poco	Algunas veces	Frecuentemente	Frecuentemente	Algunas veces	Algunas veces	24
188	SB11201910047776	Femenino	0	19.46	Si	Media	Privado	1	Credito	3.61	4	2.6	1.4	3	2.33	52.8	1.76	22.01	Virtual	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	3	3	1	1	1	Totalmente de acuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	De acuerdo	En desacuerdo	En desacuerdo	Poco	Poco	Bastante	Poco	Bastante	Algunas veces	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	22
189	SB11201910055355	Femenino	0	16.47	Si	Media	Privado	2	Credito	3.7	4.2	2	3.6	3.1	2.9	48.6	1.62	25.5	Presencial	En desacuerdo	En desacuerdo	1	3	3	2	3	3	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Mucho	Poco	Bastante	Casi nunca	Casi siempre	Casi nunca	Casi siempre	Casi nunca	12
190	SB11201910018214	Femenino	0	19.91	Si	Media	Privado	3	Credito	2.53	1.8	1.6	3.6	2.7	2.63	35.7	1.19	21.13	Virtual	De acuerdo	De acuerdo	3	4	3	4	2	3	De acuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Poco	Algunas veces	Frecuentemente	Frecuentemente	Algunas veces	Algunas veces	32
191	SB11201910054784	Femenino	0	19.06	Si	Baja	Privado	2	Otro	4.02	4.3	3.6	2.4	4.7	3.57	55.5	1.85	22.26	Presencial	De acuerdo	De acuerdo	3	3	1	3	1	2	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	No en lo absoluto	No en lo absoluto	Mucho	Mucho	No en lo absoluto	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Frecuentemente	19
192	SB11201910016716	Femenino	0	19.93	Si	Media	Privado	3	Credito	4.21	4	4	2.8	3.1	3.48	37.2	1.24	25.53	Presencial	En desacuerdo	De acuerdo	3	3	3	5	4	2	En desacuerdo	De acuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	No en lo absoluto	Poco	Casi siempre	Algunas veces	Algunas veces	Casi nunca	Algunas veces	18
193	SB11201910048888	Masculino	1	18.76	Si	Baja	Privado	1	Otro	3.64	3	4.7	3.1	3	3.45	39	1.3	18.13	Presencial	De acuerdo	De acuerdo	3	3	2	5	5	1	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	De acuerdo	De acuerdo	En desacuerdo	Indeciso	No en lo absoluto	No en lo absoluto	Mucho	Mucho	No en lo absoluto	Frecuentemente	Frecuentemente	Frecuentemente	Casi nunca	Frecuentemente	18
194	SB11201910016730	Femenino	0	17.47	Si	Alta	Privado	3	Credito	3.13	2.4	3	2.4	3	2.7	68.1	2.27	19.37	Presencial	En desacuerdo	En desacuerdo	1	1	4	5	2	4	Totalmente de acuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Indeciso	En desacuerdo	Poco	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Casi nunca	Frecuentemente	Casi siempre	17
195	SB11201910016743	Femenino	0	21.07	Si	Media	Privado	2	Credito	3.5	3	4.6	1.8	4.1	3.38	35.1	1.17	16.73	Virtual	En desacuerdo	En desacuerdo	1	1	1	2	5	4	De acuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	Indeciso	De acuerdo	En desacuerdo	Bastante	Mucho	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	Algunas veces	17
196	SB11201910040359	Masculino	1	17.21	Si	Alta	Privado	1	Credito	3.31	3	3.3	1.6	4.2	3.03	30.5	1.05	19.98	Presencial	En desacuerdo	De acuerdo	3	1	1	2	4	4	En desacuerdo	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	Totalmente de acuerdo	Totalmente de acuerdo	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Algunas veces	Frecuentemente	Algunas veces	Algunas veces	Casi siempre	12
197	SB11201910028108	Femenino	0	18.66	Si	Media	Privado	2	Credito	3.52	3.3	3.1	3.3	4.6	3.58	31.2	1.04	22.69	Virtual	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	5	4	1	1	2	Totalmente de acuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Poco	Poco	Mucho	Bastante	Poco	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Casi siempre	21
198	SB11201910028102	Femenino	0	16.61	Si	Media	Privado	1	Credito	3.97	4.2	4.1	4.4	4.4	4.28	62.1	2.07	19.27	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	1	2	2	4	3	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	En desacuerdo	Bastante	Bastante	Poco	Poco	Poco	Frecuentemente	Casi siempre	Frecuentemente	Frecuentemente	Casi siempre	21
199	SB11201910021350	Femenino	0	18.07	Si	Media	Privado	3	Credito	4.03	2.7	4.8	1	5	3.38	74.4	2.48	23.25	Virtual	En desacuerdo	En desacuerdo	1	4	5	3	1	1	Totalmente en desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Indeciso	Indeciso	En desacuerdo	Bastante	Bastante	Poco	Poco	Mucho	Frecuentemente	Casi siempre	Frecuentemente	Casi nunca	Algunas veces	9
200	SB11201910021358	Masculino	1	16.84	Si	Alta	Privado	2	Credito	3.43	1.5	3.5	4.5	4.6	3.53	61.2	2.04	26.12	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	2	1	1	2	2	Totalmente en desacuerdo	En desacuerdo	En desacuerdo	Indeciso	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Algunas veces	Frecuentemente	Casi siempre	Algunas veces	Algunas veces	9
201	SB11201910040365	Femenino	0	17.81	Si	Baja	Privado	2	Credito	3.53	3.4	4.3	2	3.3	3.2	38.4	1.28	16.56	Virtual	En desacuerdo	De acuerdo	3	4	1	4	1	4	De acuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	Totalmente de acuerdo	De acuerdo	Totalmente en desacuerdo	Mucho	Mucho	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	35
202	SB11201910040344	Masculino	1	20.65	Si	Alta	Privado	1	Credito	2.89	3.2	1.5	4.2	3.8	3.18	68.7	2.29	18.91	Presencial	En desacuerdo	De acuerdo	3	5	3	5	4	3	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	En desacuerdo	Totalmente de acuerdo	Indeciso	Totalmente en desacuerdo	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Casi nunca	Casi siempre	Casi siempre	Casi siempre	Casi siempre	37
203	SB11201910040397	Masculino	1	19.39	Si	Media	Privado	2	Credito	3.62	3	4.5	4.2	4.1	3.95	33.3	1.11	19.13	Presencial	En desacuerdo	De acuerdo	3	2	1	1	3	3	De acuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	Totalmente en desacuerdo	En desacuerdo	Mucho	Mucho	Poco	Poco	Mucho	Casi siempre	Casi siempre	Casi nunca	Frecuentemente	Algunas veces	39
204	SB11201910028111	Masculino	1	20.07	No	Media	Publico	1	Credito	3.84	3.7	4.6	3.1	5	4.1	74	2.2	17.19	Virtual	En desacuerdo	De acuerdo	3	5	4	5	5	2	Totalmente en desacuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	En desacuerdo	Totalmente de acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Algunas veces	24
205	SB11201910040417	Femenino	0	20.54	Si	Baja	Publico	2	Credito	3.85	2.2	4.3	2.3	5	3.45	73.3	2.11	25.65	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	5	2	4	3	1	Totalmente en desacuerdo	De acuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	Totalmente en desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Frecuentemente	Frecuentemente	Casi nunca	Algunas veces	26
206	SB11201910028117	Femenino	0	18.25	Si	Media	Publico	3	Credito	2.35	1.5	1.6	2.6	3.9	2.4	36.4	1.08	19.9	Presencial	De acuerdo	De acuerdo	3	3	2	5	2	4	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	De acuerdo	En desacuerdo	De acuerdo	De acuerdo	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Algunas veces	Casi siempre	Casi nunca	Algunas veces	Casi siempre	0
207	SB11201910040399	Femenino	0	19.95	Si	Media	Publico	3	Credito	3.78	2.1	5	2.7	4.6	3.6	76.2	2.54	21.12	Presencial	De acuerdo	De acuerdo	3	5	5	1	2	4	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente de acuerdo	Indeciso	Indeciso	En desacuerdo	De acuerdo	Poco	Poco	Bastante	Poco	Bastante	Frecuentemente	Algunas veces	Casi nunca	Frecuentemente	Algunas veces	77
208	SB11201910040405	Femenino	0	18.95	No	Alta	Publico	2	Credito	4.04	3	4.3	2.4	3.5	3.3	53.9	2.13	24.85	Presencial	De acuerdo	De acuerdo	3	2	4	1	2	4	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	De acuerdo	Indeciso	Indeciso	Bastante	Poco	Poco	Poco	Poco	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	Casi siempre	72
209	SB11201910047394	Femenino	0	19.11	Si	Media	Publico	2	Credito	3.72	3.2	4.8	2.2	2.5	3.18	53.4	1.78	17.27	Presencial	En desacuerdo	De acuerdo	3	5	2	4	3	5	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	De acuerdo	De acuerdo	Indeciso	Mucho	Mucho	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	Frecuentemente	60
210	SB11201910040371	Masculino	1	17.78	Si	Baja	Publico	2	Credito	3.73	3	3.3	2.8	3.5	3.15	58.2	1.94	24.97	Presencial	En desacuerdo	De acuerdo	3	3	4	2	5	1	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	De acuerdo	De acuerdo	En desacuerdo	Indeciso	Poco	Bastante	Poco	No en lo absoluto	Mucho	Frecuentemente	Frecuentemente	Frecuentemente	Casi nunca	Frecuentemente	69
211	SB11201910028157	Femenino	0	19.79	Si	Media	Publico	3	Credito	4.21	4.5	4.4	2.4	2.2	3.38	86.1	2.87	18.97	Presencial	En desacuerdo	De acuerdo	3	2	4	1	1	1	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	En desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Mucho	Mucho	Poco	No en lo absoluto	Bastante	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Casi nunca	65
212	SB11201910021566	Femenino	0	20.12	Si	Baja	Publico	3	Credito	3.79	3.5	3.8	1.9	4	3.3	60.9	2.33	20.72	Presencial	En desacuerdo	De acuerdo	3	5	5	1	5	2	De acuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Poco	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Casi nunca	54
213	SB11201910028129	Masculino	1	21.89	Si	Baja	Publico	3	Otro	3.67	3	3.1	2.4	4.5	3.25	39.9	1.33	25.82	Virtual	De acuerdo	En desacuerdo	1	2	5	2	1	1	En desacuerdo	De acuerdo	De acuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Algunas veces	52
214	SB11201910040465	Masculino	1	18.97	Si	Baja	Publico	1	Credito	4.08	4	3.7	1.7	2.5	2.98	67.2	2.24	23.49	Presencial	En desacuerdo	De acuerdo	3	1	1	3	2	3	Totalmente en desacuerdo	De acuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	De acuerdo	Poco	Poco	Poco	Poco	Poco	Casi siempre	Frecuentemente	Casi nunca	Casi nunca	Frecuentemente	36
215	SB11201910028110	Masculino	1	20.69	No	Media	Publico	3	Credito	4.31	3.5	4.4	2.9	5	3.95	86.7	2.89	24.95	Presencial	De acuerdo	En desacuerdo	1	4	4	2	3	2	En desacuerdo	De acuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	En desacuerdo	Indeciso	Poco	Poco	Mucho	Mucho	Poco	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Casi nunca	35
216	SB11201910040374	Masculino	1	18.88	No	Media	Publico	3	Credito	4.33	3	4.8	2.4	4.5	3.68	61.5	2.05	27.01	Presencial	En desacuerdo	De acuerdo	3	2	1	4	4	3	Totalmente de acuerdo	Totalmente en desacuerdo	En desacuerdo	De acuerdo	Totalmente de acuerdo	En desacuerdo	En desacuerdo	Bastante	Bastante	No en lo absoluto	Poco	Mucho	Casi siempre	Algunas veces	Frecuentemente	Frecuentemente	Algunas veces	35
217	SB11201910040420	Femenino	0	17.26	No	Media	Publico	1	Credito	4.28	4	4.5	2.2	5	3.93	69.6	2.32	22.73	Presencial	En desacuerdo	De acuerdo	3	3	5	5	5	4	Ni de acuerdo, ni en desacuerdo	De acuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	Indeciso	Bastante	Poco	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Casi nunca	Frecuentemente	Casi nunca	34
218	SB11201910040387	Masculino	1	17.18	No	Media	Publico	2	Credito	4.14	4.7	4.3	2.8	4.6	3.9	63.8	2.46	18.14	Presencial	En desacuerdo	En desacuerdo	1	1	5	1	4	1	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Algunas veces	32
219	SB11201910040376	Masculino	1	18.76	No	Media	Publico	1	Credito	3.55	1	4.8	3.2	4.2	3.3	51.2	2.04	24.34	Presencial	De acuerdo	De acuerdo	3	4	2	4	5	1	En desacuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	De acuerdo	En desacuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	Casi nunca	28
220	SB11201910028113	Femenino	0	16.19	No	Media	Publico	3	Credito	3.98	2	4.4	3.1	4.5	3.5	70.8	2.36	27.68	Presencial	De acuerdo	De acuerdo	3	3	4	5	2	2	De acuerdo	Totalmente de acuerdo	En desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Algunas veces	28
221	SB11201910040413	Femenino	0	19.44	No	Media	Publico	1	Credito	3.22	3.7	2.4	2.7	5	3.45	52.2	1.74	18.43	Presencial	En desacuerdo	De acuerdo	3	1	1	1	5	3	Totalmente de acuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Poco	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Casi nunca	28
222	SB11201910040358	Femenino	0	20.1	No	Baja	Publico	2	Credito	4.22	3.3	4.3	2.5	4.3	3.6	74.4	2.48	25.61	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	2	5	2	3	2	De acuerdo	En desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Indeciso	De acuerdo	Poco	Bastante	Mucho	Poco	Poco	Frecuentemente	Algunas veces	Frecuentemente	Frecuentemente	Frecuentemente	28
223	SB11201910040379	Femenino	0	16.34	No	Baja	Publico	2	Credito	2.5	1.5	2	3.5	5	3	72.6	2.42	18.28	Virtual	En desacuerdo	De acuerdo	3	5	4	3	1	4	Totalmente de acuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	Indeciso	En desacuerdo	Bastante	Bastante	Poco	Poco	Poco	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Casi nunca	26
224	SB11201910021572	Masculino	1	17.94	No	Media	Publico	2	Credito	4	4.5	3.8	3.3	4.9	4.13	47.7	1.59	20.53	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	2	3	4	3	4	Totalmente de acuerdo	Totalmente de acuerdo	Totalmente de acuerdo	Totalmente de acuerdo	En desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Poco	Bastante	Poco	Poco	Bastante	Casi siempre	Algunas veces	Algunas veces	Casi nunca	Algunas veces	26
225	SB11201910040472	Femenino	0	19.83	No	Media	Publico	1	Credito	4.15	3.8	3.1	2.1	4.5	3.38	86.7	2.89	27.07	Presencial	En desacuerdo	En desacuerdo	1	4	4	2	3	2	Totalmente de acuerdo	En desacuerdo	De acuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Algunas veces	25
226	SB11201910040357	Masculino	1	21.55	No	Media	Publico	2	Credito	3.47	2	4.3	3.3	3.9	3.38	47.4	1.58	21.56	Presencial	En desacuerdo	De acuerdo	3	1	2	1	5	4	Totalmente en desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	Totalmente de acuerdo	De acuerdo	Totalmente en desacuerdo	Poco	Poco	Poco	Poco	Poco	Casi nunca	Casi nunca	Casi nunca	Casi nunca	Casi nunca	24
227	SB11201910021571	Femenino	0	20.15	No	Alta	Publico	3	Credito	3.04	2.5	2.7	2.1	5	3.08	51.3	1.71	19.8	Presencial	De acuerdo	De acuerdo	3	4	2	4	2	1	De acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	Indeciso	Indeciso	Mucho	Bastante	Poco	Poco	Bastante	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	Casi nunca	24
228	SB11201910021352	Masculino	1	21.37	Si	Media	Publico	2	Credito	3.23	2	3.8	3.7	4.9	3.6	39.9	1.33	20.56	Presencial	De acuerdo	De acuerdo	3	2	2	4	5	3	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Indeciso	De acuerdo	Indeciso	En desacuerdo	Mucho	Bastante	Poco	Poco	Bastante	Casi siempre	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	24
